"Prey","PreyGene","WT_UB_WT_BR_SaintScore","WT_UB_WT_BR_log2FoldChange","WT_UB_WT_BR_MG_SaintScore","WT_UB_WT_BR_MG_log2FoldChange","WT_KO_BR_SaintScore","WT_KO_BR_log2FoldChange","WT_KO_BR_MG_SaintScore","WT_KO_BR_MG_log2FoldChange","SE_UB_WT_BR_SaintScore","SE_UB_WT_BR_log2FoldChange","SE_UB_WT_BR_MG_SaintScore","SE_UB_WT_BR_MG_log2FoldChange","SE_KO_BR_SaintScore","SE_KO_BR_log2FoldChange","SE_KO_BR_MG_SaintScore","SE_KO_BR_MG_log2FoldChange"
"Q15050","RRS1",0.32,2.73768676140986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q8N3C0","ASCC3",0.32,2.73768676140986,0.33,3.32192809488736,NA,NA,NA,NA,0.33,3.32192809488736,0.33,3.32192809488736,NA,NA,NA,NA
"P46087-3","NOP2",0.32,2.73768676140986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A8I5KQE6","A0A8I5KQE6",0.32,2.73768676140986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q15717","ELAVL1",0.32,2.73768676140986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q14739","LBR",0.32,2.73768676140986,NA,NA,NA,NA,NA,NA,0.32,2.73768676140986,NA,NA,NA,NA,NA,NA
"Q6WCQ1-3","MPRIP",0.32,2.73768676140986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P67775-2","PPP2CA",0.32,2.73768676140986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P50990","CCT8",0.32,2.73768676140986,NA,NA,0.65,4.05918219921169,0.33,3.73660487531425,0.66,4.32192809488736,0.67,4.7371459197762,0.33,3.73660487531425,0.33,4.05918219921169
"Cont_Q5KR48","Cont_Q5KR48",0.32,2.73768676140986,NA,NA,0.32,2.73768676140986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P00505-2","GOT2",0.32,2.73768676140986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O43143","DHX15",0.32,2.73768676140986,0.32,2.73768676140986,NA,NA,NA,NA,NA,NA,0.42,1.32192809488736,NA,NA,NA,NA
"P61619-3","SEC61A1",0.32,2.73768676140986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P62491-2","RAB11A",0.32,2.73768676140986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P08238","HSP90AB1",0.3,0.6959938131099,0.36,0.910732661902913,0.22,0.545968369105292,0,-1.39592867633114,0,-0.454031630894707,0,0.176322772640463,0.99,5.05874941233552,0.97,4.7371459197762
"Cont_P60712","Cont_P60712",0.3,0.75702324650746,0.33,1.19534759832222,0,0.55581615506164,0,-0.217591435072627,0,-0.577766999316952,0,0.575312330687437,0.65,2,0.58,1.62760683812965
